1, \cot (x)^3
2, x^{1/x}
3, \sin (\cosh (x)) + \sin (\cosh (x)) * \sin (\cosh (x)) + \sin (\cosh (x))^3 + \sin (\cosh (x)) + \sin (\cosh (x)) * \sin (\cosh (x)) + \sin (\cosh (x))^3 * \sin (\cosh (x)) + \sin (\cosh (x)) * \sin (\cosh (x)) + \sin (\cosh (x))^3 + \sin (\cosh (x)) + \sin (\cosh (x)) * \sin (\cosh (x)) + \sin (\cosh (x))^3
4, \cosh (\sinh (\cot (x)))^7
5, \csc (x^{x} * x^{x} - x^{x} * x^{x})
6, \csc (x)^2
7, \cosh (x)
8, \frac{1}{\csc (2^{\sec (x)})}
9, x + x
10, x - x
11, \cos (\frac{1}{x})
12, \tanh (\cot (x))^5^6
13, x^2^4^{1/x^2^4}^3
14, \sinh (x)
15, \tanh (x^7)
16, \frac{\cot (x^6^7^7 * x^6^7^7)^{1/\cot (x^6^7^7 * x^6^7^7)}}{\cot (x^6^7^7 * x^6^7^7)^{1/\cot (x^6^7^7 * x^6^7^7)}}
17, \tanh (x)
18, \tanh (x)
19, x^3^5
20, \cot (\csc (2^{x^4}))
21, x^6^3
22, \csc (\sec (\cos (x)))^7
23, \sec (\frac{x}{x}^6^4)
24, x * x
25, \sinh (x^4)^6
26, 2^{\cosh (\tanh (x))}
27, e^{\cot (\cos (x)^7)}
28, x^6
29, e^{x}^6^6^3 + e^{x}^6^6^3^5
30, \sinh (e^{\frac{x}{x}} - e^{\frac{x}{x}})
31, \tanh (\frac{1}{x})
